Date : 2022-12-28 14:36:00
Directory : /Users/user/init/1day10k/1228
Total : 68 files,  -1902 codes, -456 comments, -625 blanks, all -2983 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/expressJs/express.js       | JavaScript       |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/expressJs/statement.js     | JavaScript       |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/jsx/express.js             | JavaScript       |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/jsx/express.jsx            | JavaScript React |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/jsx/statement.js           | JavaScript       |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/jsx/statement.jsx          | JavaScript React |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/other/example.rs           | Rust             |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/other/example.sol          | Solidity         |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/other/example.test.js      | JavaScript       |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/other/rs/express.rs        | Rust             |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/other/rs/statement.rs      | Rust             |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/other/sol/express.sol      | Solidity         |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/other/sol/statement.sol    | Solidity         |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/other/test/example.rs      | Rust             |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/other/test/example.test.js | JavaScript       |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/prisma/bd.js               | JavaScript       |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/test/chai.test.js          | JavaScript       |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/example/test/jest.test.js          | JavaScript       |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/jsxLib/next.jsx                    | JavaScript React |       -410 |        -69 |       -115 |       -594 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/jsxLib/react.jsx                   | JavaScript React |       -207 |        -40 |        -51 |       -298 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/jsxLib/recoil.js                   | JavaScript       |        -66 |        -26 |        -39 |       -131 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/jsxLib/redux.jsx                   | JavaScript React |        -98 |        -43 |        -36 |       -177 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/line.md                            | Markdown         |        -16 |          0 |         -1 |        -17 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/style/example.scss                 | SCSS             |        -96 |        -12 |        -32 |       -140 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/style/styledcss.js                 | JavaScript       |        -54 |         -6 |        -19 |        -79 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/test/chai.test.js                  | JavaScript       |        -84 |        -70 |        -72 |       -226 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/test/jest.test.js                  | JavaScript       |       -606 |       -103 |       -185 |       -894 |
| /Users/user/init/1day10k/2022/202212/1225-1231/1226/test/racttestlib.test.js           | JavaScript       |        -14 |         -5 |         -7 |        -26 |
| Total                                                                                  |                  |     -1,902 |       -456 |       -625 |     -2,983 |
+----------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
