Date : 2022-10-29 16:30:10
Directory : /Users/user/init/10k1day/1029
Total : 158 files,  -2001 codes, -568 comments, -227 blanks, all -2796 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Markdown |          2 |          0 |          0 |          0 |          0 |
| Solidity |        156 |     -2,001 |       -568 |       -227 |     -2,796 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
| /Users/user/init/10k1day/1029/1300/KyberNetworkProxy.sol                                | Solidity |         15 |         11 |          4 |         30 |
| /Users/user/init/10k1day/1029/1300/Masset.sol                                           | Solidity |         10 |          8 |          9 |         27 |
| /Users/user/init/10k1day/1029/1300/StakingReward.sol                                    | Solidity |         12 |         10 |         11 |         33 |
| /Users/user/init/10k1day/1029/1300/sol.sol                                              | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/1029/1400/BiDirectionalPaymentChannel.sol                      | Solidity |        106 |          8 |         15 |        129 |
| /Users/user/init/10k1day/1029/1400/Bitwise.sol                                          | Solidity |         30 |         10 |          1 |         41 |
| /Users/user/init/10k1day/1029/1400/ICurveFiCurve.sol                                    | Solidity |         43 |         20 |          3 |         66 |
| /Users/user/init/10k1day/1029/1400/ICurveFiPoolToken.sol                                | Solidity |         20 |         14 |          2 |         36 |
| /Users/user/init/10k1day/1029/1400/ICurveFiZap.sol                                      | Solidity |         20 |          8 |          1 |         29 |
| /Users/user/init/10k1day/1029/1400/ILendingPool.sol                                     | Solidity |          3 |          3 |          2 |          8 |
| /Users/user/init/10k1day/1029/1400/ILendingPoolAddressesProvider.sol                    | Solidity |          8 |          5 |          2 |         15 |
| /Users/user/init/10k1day/1029/1400/IUniswapV2Router01.sol                               | Solidity |         79 |         18 |          2 |         99 |
| /Users/user/init/10k1day/1029/1400/sol.sol                                              | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/1029/1500/CrowdFund.sol                                        | Solidity |        109 |         14 |         14 |        137 |
| /Users/user/init/10k1day/1029/1500/DutchAuction.sol                                     | Solidity |         51 |          6 |          8 |         65 |
| /Users/user/init/10k1day/1029/1500/ERC721.sol                                           | Solidity |         96 |         27 |         26 |        149 |
| /Users/user/init/10k1day/1029/1500/EnglishAuction.sol                                   | Solidity |         76 |         12 |         12 |        100 |
| /Users/user/init/10k1day/1029/1500/IterableMapping.sol                                  | Solidity |         62 |          8 |         16 |         86 |
| /Users/user/init/10k1day/1029/1500/sol.sol                                              | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/1029/1600/Keccak256.sol                                        | Solidity |         15 |          6 |          6 |         27 |
| /Users/user/init/10k1day/1029/1600/Library.sol                                          | Solidity |         31 |          8 |          9 |         48 |
| /Users/user/init/10k1day/1029/1600/Mapping.sol                                          | Solidity |         25 |          8 |         10 |         43 |
| /Users/user/init/10k1day/1029/1600/MarkleTree.sol                                       | Solidity |         30 |          5 |          9 |         44 |
| /Users/user/init/10k1day/1029/1600/MinimalProxy.sol                                     | Solidity |         13 |          2 |          4 |         19 |
| /Users/user/init/10k1day/1029/1600/MultiDelegatecall.sol                                | Solidity |         12 |          4 |          5 |         21 |
| /Users/user/init/10k1day/1029/1600/NewContract.sol                                      | Solidity |         18 |          7 |          3 |         28 |
| /Users/user/init/10k1day/1029/1600/Proxy.sol                                            | Solidity |         16 |          2 |          5 |         23 |
| /Users/user/init/10k1day/1029/1600/sol.sol                                              | Solidity |          0 |          0 |          1 |          1 |
