Date : 2022-10-29 19:38:23
Directory : /Users/user/init/10k1day/1029
Total : 88 files,  2807 codes, 706 comments, 557 blanks, all 4070 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/user/init/10k1day/1029/1400/ILendingPoolAddressesProvider.sol | Solidity |          8 |          5 |          2 |         15 |
| /Users/user/init/10k1day/1029/1400/IUniswapV2Router01.sol            | Solidity |         79 |         18 |          2 |         99 |
| /Users/user/init/10k1day/1029/1400/sol.sol                           | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/1029/1500/CrowdFund.sol                     | Solidity |        109 |         14 |         14 |        137 |
| /Users/user/init/10k1day/1029/1500/DutchAuction.sol                  | Solidity |         51 |          6 |          8 |         65 |
| /Users/user/init/10k1day/1029/1500/ERC721.sol                        | Solidity |         96 |         27 |         26 |        149 |
| /Users/user/init/10k1day/1029/1500/EnglishAuction.sol                | Solidity |         76 |         12 |         12 |        100 |
| /Users/user/init/10k1day/1029/1500/IterableMapping.sol               | Solidity |         62 |          8 |         16 |         86 |
| /Users/user/init/10k1day/1029/1500/sol.sol                           | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/1029/1600/Keccak256.sol                     | Solidity |         15 |          6 |          6 |         27 |
| /Users/user/init/10k1day/1029/1600/Library.sol                       | Solidity |         31 |          8 |          9 |         48 |
| /Users/user/init/10k1day/1029/1600/Mapping.sol                       | Solidity |         25 |          8 |         10 |         43 |
| /Users/user/init/10k1day/1029/1600/MarkleTree.sol                    | Solidity |         30 |          5 |          9 |         44 |
| /Users/user/init/10k1day/1029/1600/MinimalProxy.sol                  | Solidity |         13 |          2 |          4 |         19 |
| /Users/user/init/10k1day/1029/1600/MultiDelegatecall.sol             | Solidity |         12 |          4 |          5 |         21 |
| /Users/user/init/10k1day/1029/1600/NewContract.sol                   | Solidity |         18 |          7 |          3 |         28 |
| /Users/user/init/10k1day/1029/1600/Proxy.sol                         | Solidity |         53 |         12 |         16 |         81 |
| /Users/user/init/10k1day/1029/1600/SendingEther.sol                  | Solidity |         24 |          9 |          5 |         38 |
| /Users/user/init/10k1day/1029/1600/Signature.sol                     | Solidity |         42 |          7 |          5 |         54 |
| /Users/user/init/10k1day/1029/1600/StakingRewards.sol                | Solidity |        115 |         28 |          6 |        149 |
| /Users/user/init/10k1day/1029/1600/sol.sol                           | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/1029/1700/TimeLock.sol                      | Solidity |        115 |         22 |         14 |        151 |
| /Users/user/init/10k1day/1029/1700/TryCatch.sol                      | Solidity |          7 |          1 |          3 |         11 |
| /Users/user/init/10k1day/1029/1700/UniDirectionalPaymentChannel.sol  | Solidity |         39 |          8 |          4 |         51 |
| /Users/user/init/10k1day/1029/1700/Vault.sol                         | Solidity |         29 |          6 |          8 |         43 |
| /Users/user/init/10k1day/1029/1700/Visibility.sol                    | Solidity |         24 |          6 |          4 |         34 |
| /Users/user/init/10k1day/1029/1700/sol.sol                           | Solidity |          0 |          0 |          1 |          1 |
