"filename", "language", "Markdown", "JavaScript", "TypeScript", "JavaScript React", "Prisma", "CSS", "SCSS", "Solidity", "Rust", "HTTP", "comment", "blank", "total"
"/Users/user/init/1day10k/1229/api/apollo.js", "JavaScript", 0, -281, 0, 0, 0, 0, 0, 0, 0, 0, -66, -79, -426
"/Users/user/init/1day10k/1229/api/express.js", "JavaScript", 0, -13, 0, 0, 0, 0, 0, 0, 0, 0, -23, -2, -38
"/Users/user/init/1day10k/1229/api/socketio.js", "JavaScript", 0, -75, 0, 0, 0, 0, 0, 0, 0, 0, -54, -57, -186
"/Users/user/init/1day10k/1229/db/scheme.prisma", "Prisma", 0, 0, 0, 0, -97, 0, 0, 0, 0, 0, -16, -21, -134
"/Users/user/init/1day10k/1229/db/sequelize.js", "JavaScript", 0, -89, 0, 0, 0, 0, 0, 0, 0, 0, -25, -25, -139
"/Users/user/init/1day10k/1229/example/api/express.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/user/init/1day10k/1229/example/api/statement.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/user/init/1day10k/1229/example/db/bd.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/user/init/1day10k/1229/example/db/prisma/scheme.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/user/init/1day10k/1229/example/example.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/user/init/1day10k/1229/example/example.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/user/init/1day10k/1229/example/example.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/user/init/1day10k/1229/example/other/api/rs/example.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/user/init/1day10k/1229/example/other/api/rs/express.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/user/init/1day10k/1229/example/other/api/rs/statement.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
