"filename", "language", "JavaScript", "Solidity", "TypeScript", "JavaScript React", "Markdown", "JSON", "Rust", "JSON with Comments", "CSS", "TypeScript React", "XML", "SCSS", "Yul", "comment", "blank", "total"
"/Users/user/init/1day10k/2022/202301/0109-0116/0109/mvc/view/recoil.jsx", "JavaScript React", 0, 0, 0, 358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 83, 476
"/Users/user/init/1day10k/2022/202301/0109-0116/0109/ts.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/user/init/1day10k/2022/202301/0109-0116/0109/web3.js", "JavaScript", 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 72, 315
"/Users/user/init/1day10k/2022/202301/0109-0116/0109/zep.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/artifacts/Caller.json", "JSON", 0, 0, 0, 0, 0, 2945, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2945
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/artifacts/Caller_metadata.json", "JSON", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/artifacts/Receiver.json", "JSON", 0, 0, 0, 0, 0, 4042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4042
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/artifacts/Receiver_metadata.json", "JSON", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/call.sol", "Solidity", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 34, 166
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/chainlink.sol", "Solidity", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31, 129
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/exam.sol", "Solidity", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 21, 86
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/mvc/api/actix.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/mvc/api/nest.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/mvc/db/prisma.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/mvc/db/sea-ql.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/mvc/example/mvc/api/example.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/mvc/example/mvc/api/example.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/mvc/example/mvc/api/express.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
