"filename", "language", "Rust", "Markdown", "TOML", "JSON", "JavaScript React", "JavaScript", "Solidity", "comment", "blank", "total"
"/Users/user/init/myApp/1day10k/1209/account/app/stableCoin.rs", "Rust", 46, 0, 0, 0, 0, 0, 0, 0, 14, 60
"/Users/user/init/myApp/1day10k/1209/account/src/lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/myApp/1day10k/1209/account/src/main.rs", "Rust", 13, 0, 0, 0, 0, 0, 0, 0, 7, 20
"/Users/user/init/myApp/1day10k/1209/account/target/.rustc_info.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/user/init/myApp/1day10k/1209/account/target/debug/.fingerprint/account-63acac1a596fa1f7/bin-account.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/user/init/myApp/1day10k/1209/account/target/debug/.fingerprint/account-b667e710bd1a8b9d/lib-account.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/user/init/myApp/1day10k/1209/example/example.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/myApp/1day10k/1209/example/example.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/myApp/1day10k/1209/example/example.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/myApp/1day10k/1209/example/example.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/myApp/1day10k/1209/example/jsx/express.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/myApp/1day10k/1209/example/jsx/express.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/myApp/1day10k/1209/example/jsx/statement.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/myApp/1day10k/1209/example/jsx/statement.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
