"filename", "language", "Solidity", "Markdown", "comment", "blank", "total"
"/Users/user/init/10k1day/1027/1000/ICallee.sol", "Solidity", 11, 0, 15, 5, 31
"/Users/user/init/10k1day/1027/1100/DssProxyActionsBase.sol", "Solidity", 168, 0, 28, 38, 234
"/Users/user/init/10k1day/1027/1100/ISynth.sol", "Solidity", 7, 0, 5, 5, 17
"/Users/user/init/10k1day/1027/1100/ISynthetix.sol", "Solidity", 9, 0, 0, 8, 17
"/Users/user/init/10k1day/1027/1200/IDepot.sol", "Solidity", 14, 0, 12, 2, 28
"/Users/user/init/10k1day/1027/1200/ILendingPool.sol", "Solidity", 17, 0, 16, 4, 37
"/Users/user/init/10k1day/1027/1200/ILendingPoolAddressesProvider.sol", "Solidity", 11, 0, 9, 3, 23
"/Users/user/init/10k1day/1027/1200/ISynthetix.sol", "Solidity", 22, 0, 19, 3, 44
"/Users/user/init/10k1day/1027/1200/sol.sol", "Solidity", 0, 0, 0, 1, 1
"/Users/user/init/10k1day/1027/1300/IDss.sol", "Solidity", 48, 0, 23, 8, 79
"/Users/user/init/10k1day/1027/1300/IUniswapExchange.sol", "Solidity", 17, 0, 14, 3, 34
"/Users/user/init/10k1day/1027/1300/IUniswapV2Pair.sol", "Solidity", 29, 0, 19, 4, 52
"/Users/user/init/10k1day/1027/1300/sol.sol", "Solidity", 0, 0, 0, 1, 1
"/Users/user/init/10k1day/1027/1400/ICurveFiCurve.sol", "Solidity", 28, 0, 25, 4, 57
"/Users/user/init/10k1day/1027/1400/ICurveFiZap.sol", "Solidity", 11, 0, 9, 2, 22
"/Users/user/init/10k1day/1027/1400/ISoloMargin.sol", "Solidity", 106, 0, 64, 17, 187
"/Users/user/init/10k1day/1027/1400/IUniswapV2Factory.sol", "Solidity", 10, 0, 7, 4, 21
"/Users/user/init/10k1day/1027/1400/IUniswapV2Router01.sol", "Solidity", 100, 0, 16, 3, 119
"/Users/user/init/10k1day/1027/1400/sol.sol", "Solidity", 0, 0, 0, 1, 1
"/Users/user/init/10k1day/1027/1500/BPool.sol", "Solidity", 46, 0, 46, 2, 94
"/Users/user/init/10k1day/1027/1500/ExchangeProxy.sol", "Solidity", 56, 0, 6, 4, 66
"/Users/user/init/10k1day/1027/1500/ICEther.sol", "Solidity", 14, 0, 12, 3, 29
"/Users/user/init/10k1day/1027/1500/ICToken.sol", "Solidity", 14, 0, 12, 3, 29
"/Users/user/init/10k1day/1027/1500/IComptroller.sol", "Solidity", 22, 0, 20, 13, 55
"/Users/user/init/10k1day/1027/1500/sol.sol", "Solidity", 0, 0, 0, 1, 1
"/Users/user/init/10k1day/1027/1600/Chainlink.sol", "Solidity", 25, 0, 5, 6, 36
"/Users/user/init/10k1day/1027/1600/CrowdFund.sol", "Solidity", 96, 0, 30, 24, 150
"/Users/user/init/10k1day/1027/1600/DutchAuction.sol", "Solidity", 47, 0, 32, 10, 89
"/Users/user/init/10k1day/1027/1600/IDssProxyActions.sol", "Solidity", 144, 0, 64, 13, 221
