Date : 2023-01-16 17:26:56
Directory : /Users/user/init/1day10k/2022/202301/0109-0116/0114
Total : 51 files,  -1492 codes, -20 comments, -266 blanks, all -1778 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/user/init/1day10k/2022/202301/0109-0116/0114/view/recoil.jsx                 | JavaScript React   |        453 |         32 |        106 |        591 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/api/doc.sol                     | Solidity           |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/api/exam.sol                    | Solidity           |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/doc.sol                         | Solidity           |     -1,200 |       -286 |       -257 |     -1,743 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/doc2.sol                        | Solidity           |       -993 |       -184 |       -207 |     -1,384 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/ethers.js                       | JavaScript         |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/exam.sol                        | Solidity           |       -573 |        -41 |       -147 |       -761 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/exam2.sol                       | Solidity           |     -1,048 |        -46 |       -238 |     -1,332 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/README.md              | Markdown           |        -21 |          0 |        -16 |        -37 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/next.config.js         | JavaScript         |         -4 |         -1 |         -2 |         -7 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/package-lock.json      | JSON               |       -729 |          0 |         -1 |       -730 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/package.json           | JSON               |        -21 |          0 |         -1 |        -22 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/pages/_app.tsx         | TypeScript React   |         -5 |          0 |         -2 |         -7 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/pages/_document.tsx    | TypeScript React   |        -12 |          0 |         -2 |        -14 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/pages/api/hello.ts     | TypeScript         |        -10 |         -1 |         -3 |        -14 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/pages/index.tsx        | TypeScript React   |       -116 |          0 |         -8 |       -124 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/public/next.svg        | XML                |         -1 |          0 |          0 |         -1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/public/thirteen.svg    | XML                |         -1 |          0 |          0 |         -1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/public/vercel.svg      | XML                |         -1 |          0 |          0 |         -1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/styles/Home.module.css | CSS                |       -236 |         -5 |        -38 |       -279 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/styles/globals.css     | CSS                |        -94 |          0 |        -14 |       -108 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/tsconfig.json          | JSON with Comments |        -20 |          0 |         -1 |        -21 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/orm/ethers.js                   | JavaScript         |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/orm/metamsk.js                  | JavaScript         |          0 |          0 |         -1 |         -1 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/view/next.jsx                   | JavaScript React   |       -579 |        -46 |       -153 |       -778 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/view/react.jsx                  | JavaScript React   |       -129 |        -17 |        -31 |       -177 |
| /Users/user/init/1day10k/2022/202301/0109-0116/0115/view/recoil.jsx                 | JavaScript React   |       -460 |        -40 |        -96 |       -596 |
| Total                                                                               |                    |     -1,492 |        -20 |       -266 |     -1,778 |
+-------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
