"filename", "language", "Solidity", "JavaScript React", "JavaScript", "JSON", "Markdown", "JSON with Comments", "TypeScript React", "XML", "TypeScript", "CSS", "comment", "blank", "total"
"/Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/pages/_document.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, -2, -14
"/Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/pages/api/hello.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, -1, -3, -14
"/Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/pages/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, -116, 0, 0, 0, 0, -8, -124
"/Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/public/next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"/Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/public/thirteen.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"/Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"/Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/styles/Home.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -236, -5, -38, -279
"/Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/styles/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -94, 0, -14, -108
"/Users/user/init/1day10k/2022/202301/0109-0116/0115/next-app/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, -1, -21
"/Users/user/init/1day10k/2022/202301/0109-0116/0115/orm/ethers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/user/init/1day10k/2022/202301/0109-0116/0115/orm/metamsk.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/user/init/1day10k/2022/202301/0109-0116/0115/view/next.jsx", "JavaScript React", 0, -579, 0, 0, 0, 0, 0, 0, 0, 0, -46, -153, -778
"/Users/user/init/1day10k/2022/202301/0109-0116/0115/view/react.jsx", "JavaScript React", 0, -129, 0, 0, 0, 0, 0, 0, 0, 0, -17, -31, -177
"/Users/user/init/1day10k/2022/202301/0109-0116/0115/view/recoil.jsx", "JavaScript React", 0, -460, 0, 0, 0, 0, 0, 0, 0, 0, -40, -96, -596
"Total", "-", -1124, -368, 0, 0, 0, 0, 0, 0, 0, 0, -20, -266, -1778
