Date : 2022-10-29 10:32:40
Directory : /Users/user/init/10k1day/202210/1021-1031/1028
Total : 132 files,  1602 codes, 1012 comments, 46 blanks, all 2660 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Solidity |        131 |      1,586 |      1,012 |         46 |      2,644 |
| Markdown |          1 |         16 |          0 |          0 |         16 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
| /Users/user/init/10k1day/202210/1021-1031/1025/1400/Super.sol                           | Solidity |        -34 |          0 |        -11 |        -45 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1400/UpgradeableProxy.sol                | Solidity |       -141 |          0 |        -44 |       -185 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1500/BiDirectionalPayment.sol            | Solidity |        -67 |          0 |        -16 |        -83 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1500/CallingContract.sol                 | Solidity |        -28 |          0 |         -9 |        -37 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1500/Inheritance.sol                     | Solidity |        -36 |          0 |        -11 |        -47 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1600/BLockTimestamp.sol                  | Solidity |        -14 |          0 |         -6 |        -20 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1600/ERC721.sol                          | Solidity |       -104 |          0 |        -35 |       -139 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1700/Optimal.sol                         | Solidity |        -61 |          0 |        -15 |        -76 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1700/UniswapV2SwapExamples.sol           | Solidity |       -100 |          0 |        -24 |       -124 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1800/IterableMapping.sol                 | Solidity |        -84 |         -1 |        -22 |       -107 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1800/UniswapV3FlashSwap.sol              | Solidity |        -51 |         -7 |        -10 |        -68 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1800/UniswapV3Liquidity.sol              | Solidity |       -166 |          0 |        -29 |       -195 |
| /Users/user/init/10k1day/202210/1021-1031/1025/1900/TryCatch.sol                        | Solidity |        -20 |          0 |        -10 |        -30 |
| /Users/user/init/10k1day/202210/1021-1031/1025/2000/super.sol                           | Solidity |        -38 |        -17 |        -12 |        -67 |
| /Users/user/init/10k1day/202210/1021-1031/1025/2100/Shadow.sol                          | Solidity |        -12 |         -8 |         -6 |        -26 |
| /Users/user/init/10k1day/202210/1021-1031/1025/2200/Payable.sol                         | Solidity |        -15 |         -1 |         -1 |        -17 |
| /Users/user/init/10k1day/202210/1021-1031/1025/2300 /Vault.sol                          | Solidity |          0 |          0 |         -1 |         -1 |
